epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3100.73,0.52111,0.37278,0.90007,0.98948,0.94465,0.96819,0.8849,0.44228,0.2791,0.85007,0.000293403,0.000293403,0.000293403
69,3145.01,0.52322,0.37388,0.90192,0.99004,0.9397,0.96575,0.88154,0.45206,0.28514,0.85613,0.000289931,0.000289931,0.000289931
70,3188.99,0.52235,0.3728,0.90394,0.9914,0.94102,0.96685,0.8849,0.44447,0.28024,0.85543,0.00028646,0.00028646,0.00028646
71,3232.38,0.51813,0.36825,0.89893,0.98972,0.9412,0.96713,0.88388,0.45149,0.27548,0.85409,0.000282988,0.000282988,0.000282988
72,3276.72,0.51769,0.36487,0.90007,0.99488,0.94378,0.96757,0.88763,0.43598,0.27062,0.84958,0.000279516,0.000279516,0.000279516
73,3320.64,0.51484,0.36463,0.89896,0.98934,0.94323,0.9684,0.88603,0.45072,0.27321,0.85532,0.000276045,0.000276045,0.000276045
74,3366.7,0.51561,0.36528,0.89887,0.98988,0.94488,0.96817,0.89005,0.43379,0.27142,0.8503,0.000272573,0.000272573,0.000272573
75,3410.95,0.51605,0.36527,0.90154,0.99024,0.9409,0.96785,0.88569,0.4497,0.2751,0.85515,0.000269102,0.000269102,0.000269102
76,3455.63,0.51134,0.36373,0.89962,0.98969,0.94355,0.96932,0.88909,0.43095,0.26726,0.85069,0.00026563,0.00026563,0.00026563
77,3499.86,0.51,0.36369,0.89807,0.99097,0.94051,0.9673,0.88681,0.43663,0.27105,0.85069,0.000262158,0.000262158,0.000262158
78,3544.55,0.50937,0.35691,0.89588,0.98866,0.94602,0.96927,0.88691,0.43933,0.26689,0.85262,0.000258687,0.000258687,0.000258687
79,3589.14,0.50722,0.35831,0.89588,0.98992,0.94419,0.96972,0.89128,0.42718,0.2642,0.84718,0.000255215,0.000255215,0.000255215
80,3632.78,0.50669,0.35495,0.89712,0.99094,0.94652,0.9702,0.89534,0.42428,0.26041,0.84764,0.000251744,0.000251744,0.000251744
81,3678.53,0.50639,0.35492,0.89672,0.99241,0.94344,0.9684,0.88952,0.42974,0.26655,0.84864,0.000248272,0.000248272,0.000248272
82,3723.42,0.50345,0.35176,0.89455,0.99019,0.94703,0.96899,0.89245,0.42751,0.26233,0.8477,0.0002448,0.0002448,0.0002448
83,3766.89,0.50601,0.35278,0.89578,0.99041,0.94597,0.97028,0.89322,0.42737,0.26247,0.84535,0.000241329,0.000241329,0.000241329
84,3811.51,0.50322,0.35136,0.89433,0.98931,0.94721,0.96993,0.88992,0.43923,0.26605,0.85308,0.000237857,0.000237857,0.000237857
85,3855.57,0.49759,0.34819,0.89254,0.99215,0.94658,0.97022,0.89333,0.43198,0.26103,0.85044,0.000234386,0.000234386,0.000234386
86,3899.59,0.50396,0.35365,0.8947,0.99221,0.94662,0.96837,0.89563,0.42155,0.25862,0.84567,0.000230914,0.000230914,0.000230914
87,3944.34,0.50296,0.35111,0.89571,0.99477,0.94428,0.96907,0.89654,0.41735,0.25681,0.84538,0.000227442,0.000227442,0.000227442
88,3988.55,0.49517,0.3466,0.8919,0.99191,0.94705,0.97085,0.8953,0.42516,0.25703,0.8466,0.000223971,0.000223971,0.000223971
89,4033.65,0.4963,0.3475,0.89066,0.99277,0.95013,0.97079,0.89665,0.41982,0.25431,0.8451,0.000220499,0.000220499,0.000220499
90,4078.18,0.50119,0.34565,0.89553,0.99203,0.94715,0.97156,0.8966,0.4189,0.25516,0.8448,0.000217028,0.000217028,0.000217028
91,4122.55,0.49484,0.34674,0.89207,0.98796,0.95076,0.97083,0.89843,0.41485,0.25216,0.84538,0.000213556,0.000213556,0.000213556
92,4166.6,0.49476,0.34715,0.89143,0.99511,0.94445,0.97047,0.89767,0.4166,0.25707,0.84289,0.000210084,0.000210084,0.000210084
93,4210.97,0.4925,0.34413,0.891,0.99247,0.95115,0.97057,0.89876,0.40878,0.25096,0.84135,0.000206613,0.000206613,0.000206613
94,4254.95,0.48837,0.33936,0.88811,0.99223,0.95066,0.97193,0.89979,0.4062,0.25051,0.8407,0.000203141,0.000203141,0.000203141
95,4299.11,0.48715,0.33807,0.88852,0.99529,0.94668,0.9712,0.89989,0.40849,0.24814,0.84141,0.00019967,0.00019967,0.00019967
96,4344.91,0.48683,0.33929,0.88983,0.99322,0.94758,0.97169,0.89987,0.41157,0.25093,0.84152,0.000196198,0.000196198,0.000196198
97,4390.21,0.48325,0.33752,0.8872,0.99316,0.94766,0.97141,0.89851,0.4109,0.25167,0.84037,0.000192726,0.000192726,0.000192726
98,4433.46,0.48813,0.33905,0.88964,0.98995,0.95123,0.97278,0.90302,0.4016,0.24612,0.83952,0.000189255,0.000189255,0.000189255
99,4477.85,0.48758,0.33715,0.88978,0.99193,0.94861,0.97267,0.90025,0.40715,0.24833,0.84216,0.000185783,0.000185783,0.000185783
100,4522.09,0.48412,0.33496,0.89081,0.99351,0.94829,0.97235,0.90192,0.40389,0.24879,0.84092,0.000182312,0.000182312,0.000182312
101,4565.5,0.48245,0.33467,0.88686,0.9917,0.95125,0.97223,0.90422,0.39882,0.24506,0.84003,0.00017884,0.00017884,0.00017884
102,4609.89,0.48231,0.33373,0.88935,0.99288,0.94813,0.97197,0.90526,0.39898,0.24776,0.84009,0.000175368,0.000175368,0.000175368
103,4654.74,0.47701,0.33071,0.88704,0.98874,0.95339,0.97302,0.9023,0.40789,0.2462,0.84163,0.000171897,0.000171897,0.000171897
104,4699.89,0.47977,0.33159,0.88624,0.99254,0.94984,0.97402,0.90491,0.39848,0.24552,0.83547,0.000168425,0.000168425,0.000168425
105,4744.01,0.47691,0.3284,0.88423,0.99384,0.94996,0.97392,0.90714,0.39771,0.24132,0.83687,0.000164954,0.000164954,0.000164954
106,4788.32,0.47432,0.32739,0.88393,0.99271,0.95003,0.97414,0.90651,0.39476,0.23989,0.83641,0.000161482,0.000161482,0.000161482
107,4831.54,0.47376,0.32678,0.88451,0.9904,0.95318,0.97286,0.89871,0.41467,0.24694,0.84216,0.00015801,0.00015801,0.00015801
108,4875.82,0.47429,0.32688,0.88589,0.99178,0.95213,0.97386,0.90526,0.3955,0.24154,0.83894,0.000154539,0.000154539,0.000154539
109,4920.54,0.47241,0.32771,0.88349,0.9942,0.95141,0.97389,0.90563,0.39401,0.23835,0.83914,0.000151067,0.000151067,0.000151067
110,4964.23,0.47047,0.32359,0.88525,0.99356,0.95095,0.97383,0.90373,0.40755,0.24256,0.84233,0.000147596,0.000147596,0.000147596
