id,name,parent
382,диэлектрики в электростатическом поле,294
383,Электроемкость.Конденсаторы,294
384,Электрический ток.Сила тока. Плотность тока,295
385,сопротивление проводников,295
386,закон ома для участка цепи,295
387,электроизмерительные приборы,295
388,Работа и мощность тока,295
389,Электродвижущая сила. Закон Ома для участка цепи. ,295
390,Закон Кирхгофа,295
391,электрический ток в металлах,401
392,Электролиз,401
393,"Электрический ток в газах, вакууме, проводниках",401
394,конденсатор в цепи постоянного тока,295
395,Удельное сопротивление проводника,385
396,последовательное сопротивление проводников,385
397,параллельное сопротивление проводников,385
398,Электрический ток,384
399,сила тока,384
400,Электризация тел,377
401,Электрический ток в различных средах,295
402,Законы Ньютона. Равнодействующая сила,208
403,Сила упругости,208
404,Вес и невесомость,208
405,Сила трения ,208
406,наклонная плоскость,208
407,Движение связанных сил,208
408,Блоки,407
409,движение под действием сил упругости,403
410,динамика Движения по окружности,208
411,закон гравитации,208
412,неинерциальные системы отсчета,208
413,Динамика прямолинейного движения,208
414,"лабораторные работы, теплота",228
415,рычаги,212
416,момент силы. Правило моментов,212
417,силы упругости. Системы пружин,212
418,Взаимодействие тел,208
419,масса. плотность,418
420,масса как мера инерции тела,419
421,плотность тела. Объем тела,419
422,однородные тела,421
423,сплавы и смеси,421
424,кинематические связи,195
425,показательные и логарифмические неравенства,42
426,простейшие показательные неравенства,425
427,системы простейших показательных неравенств,425
428,более сложные показательные неравенства,425
429,простые логарифмические уравнения,425
430,системы логарифмических неравенств,425
431,сложные логарифмические неравенства,425
432,системы сложных логарифмических неравенств,425
433,Алгебраические неравенства и системы неравенств,21
434,простые дробно-рациональные неравенства,433
435,сложные дробно-рациональные неравенства,433
436,Системы алгебраических неравенств,433
437,простейшие тригонометрические неравенства,262
438,сложные тригонометрические неравенства,262
439,системы тригонометрических неравенств,262
440,Иррациональные уравнения и системы уравнений,69
441,иррациональные неравенства и системы неравенств,69
442,простые иррациональные неравенства,441
443,сложные иррациональные неравенства,441
444,системы иррациональных неравенств,441
445,модуль,2
446,модуль числа,445
447,уравнения с модулями,445
448,неравенства с модулями,445
449,простейшие неравенства с модулем,448
450,сложные неравенства с модулем,448
451,система неравенств с модулями,448
452,целые неравенства,433
453,квадратные и линейные неравенства,452
454,сложные целые неравенства,452
455,Закон сохранения энергии в механических и тепловых процессах,236
456,первоначальные сведения о состоянии вещества,229
457,Золотое правило механики,212
458,плотность планет,411
459,Силы направлены под углом к горизонту,208
460,Движение системы без учета трения,407
461,Движение системы с учетом трения,407
462,сила как мера взаимодействия,208
463,Ядерная энергетика,359
464,Первый закон Ньютона,402
465,Второй закон Ньютона,402
466,Третий закон Ньютона,402
467,Релятивистская кинематика,346
468,Релятивистская динамика,346
469,Корпускулярно-волновая природа материи,352
470,корпускулярные свойства электро-магнитного излучения,469
471,волновые свойства микрочастиц,469
472,планетарная модель атома,356
473,задачи на кредиты,33
474,разные задачи на проценты,33
475,задачи на вклады,33
476,неравенства в текстовых задачах,9
477,Четырехугольники,143
478,палаллелограмм,477
479,трапеция,477
480,ромб,478
481,прямоугольники,478
482,квадрат,478
483,теорема Фалеса,145
484,треугольники,143
485,подобие треугольников,484
486,прямоугольные треугольники,484
487,теорема Пифагора,486
488,Взаимоотношения между сторонами и углами треугольников.,484
489,теорема косинусов,488
490,теорема синусов,488
491,площадь,143
492,геометрические неравенства,143
493,Неравенства для элементов треугольника,492
494,Вписанный угол,180
495,Касательные и секущие,180
496,Вписанная и описанная окружности,180
497,Преобразования плоскости,143
498,Движения,497
499,Векторы,143
500,метод решения задач в математике,1
501,Геометрические методы,500
502,метод координат,501
503,многоугольники,143
504,правильные многоугольники,503
505,Выпуклые и невыпуклые многоугольники,503
506,Соотношение в треугольнике,485
507,Преобразования подобия,497
508,Перпендикуляр к прямой. Расстояние от точки до прямой.,159
509,общие свойства четырехугольника,477
510,площадь параллелограмма,511
511,площадь четырехугольника,491
512,площадь ромба,511
513,площадь треугольника,491
514,площадь трапеции,511
515,Применение площадей,491
516,определения подобных треугольников,485
517,признаки подобия треугольников,485
518,применения подобия треугольников,485
519,соотношения между сторонами прямоугольного треугольника,485
520,Тригонометрические функции острого угла,519
521,"Вычисление значений тригонометрических функций
",519
522,Решение прямоугольных треугольников,519
523,Замечательные точки треугольника,484
524,Начальные сведения о векторах,499
525,Сложение и вычитание векторов,499
526,Умножение вектора на число. Скалярное произведение векторов,499
527,Векторный для решения планиметрических задач,499
528,Длина окружности и площадь круга,504
529,параллельный перенос,498
530,поворот,498
531,Центральная и осевая симметрии,498
532,Простейшие задачи в координатах,502
533,Уравнения окружности и прямой,502
534,Применение тригонометрических функций к нахождению площадей,488
535,параллелограмм Вариньона,478
536,средняя линия треугольника,523
537,треугольник Рело,180
538,Ортоцентр,523
539,Окружность Эйлера,523
540,Функции одной переменной,98
541,предел функции,540
542,использование производных для построения графика функций,98
543,комплексные числа,2
544,Комплексные числа и арифметические операции над ними,543
545,Комплексные числа и координатная плоскость,543
546,Тригонометрическая форма записи комплексного числа,543
547,Комплексные числа и квадратные уравнения,543
548,Возведение комплексного числа в степень,543
549,Комбинаторика,1
550,правила суммы и произведения,549
551,перестановки,549
552,перестановки с повторениями,551
553,перестановки без повторений,551
554,сочетания,549
555,сочетания без повторения,554
556,сочетания с повторениями,554
557,размещения,549
558,размещения с повторениями,557
559,размещения без повторений,557
560,теория вероятностей,1
561,классическое определение вероятностей,560
562,стереометрия,142
563,аксиомы стереометрии,562
564,параллельность прямой и плоскости,562
565,скрещивающиеся прямые в пространстве,564
566,параллельность плоскостей,564
567,задачи на построение сечений,564
568,перпендикулярность прямых и плоскостей,562
569,"Теорема о прямой, перпендикулярной к плоскости",568
570,Угол между прямой и плоскостью,568
571,перпендикулярность плоскостей,658
572,Многогранники,562
573,Пространственная теорема Пифагора,572
574,Пирамида,572
575,Разложение вектора по трем некомпланарным векторам,499
576,Уравнение плоскости,502
577,Преобразование подобия,502
578,"Цилиндр, сфера, конус",562
579,Площадь поверхности цилиндра,578
580,усеченный конус,578
581,Сечения конической поверхности,578
582,объем,562
583,объем прямоугольного параллилепипеда,582
584,объем призмы,582
585,конус,582
586,площадь сферы,582
587,Компланарные векторы,499
588,Расстояние от точки до плоскости,568
589,Общий перпендикуляр скрещивающихся прямых,568
590,Теорема о трех перпендикулярах,568
591,Двугранный угол,568
592,призма,578
593,параллилепипед,578
594,Объем наклонной призмы,592
595,Аксиомы теории вероятностей,560
596,Условная вероятность.Теорема Байеса,560
597,независимые события,560
598,Схема Бернулли,560
599,Характеристики случайной величины,560
600,Закон больших чисел,560
601,Неравенство Чебышёва,560
602,Ковариация случайных величин,560
603,Коэффициент корреляции,560
604,"Непрерывно распределённые случайные
величины",560
605,Равномерное распределение,560
606,Нормальное распределение,560
607,Показательное распределение,560
608,Дискретные случайные величины,560
609,Распределение Пуассона,560
610,Расстояния между прямыми и плоскостями,568
611,Параллельный перенос,564
612,Параллельное проектирование,564
613,Параллельные проекции плоских фигур,564
614,Изображение пространственных фигур,564
615,Сечения многогранников,564
616,"Многогранники, описанные около сферы",578
617,"Многогранники, вписанные в сферу",578
618,Сфера и шар. Взаимное расположение сферы и плоскости.,578
619,Многогранные углы,572
620,Выпуклые многогранники,572
621,Теорема Эйлера,572
622,Правильные многогранники,572
623,Полуправильные многогранники,572
624,Звездчатые многогранники,572
625,Кристаллы - природные многогранники,572
626,Центральное проектирование.Изображение пространственных фигур в центральной проекции.,568
627,Параллельность прямых в пространстве,564
628,Моделирование многогранников,562
629,Пространственные фигуры,562
630,Теорема Чевы,485
631,теорема Менелая,485
632,Подобные треугольники в окружности,485
633,теорема Птолемея,496
634,Формула биссектрисы треугольника,488
635,Вторая производная.Понятие выпуклости функции,107
636,теория чисел. делимость,2
637,Делимость нацело и ее свойства,636
638,Деление с остатком. Арифметика остатков,636
639,сравнение по модулю,636
640,Наибольший общий делитель,636
641,наименьшее общее кратное,636
642,Взаимная простота чисел,636
643,простые и составные числа,636
644,теорема Безу,61
645,Построение сечений многогранников (аксиоматический метод),567
646,Построение следов плоскостей,567
647,Построение параллельных прямых и параллельных плоскостей,567
648,Построение сечений многогранников (комбинированный метод),567
649,Построение пересечения заданных плоскостей и прямых,567
650,Выносные чертежи,567
651,Построения на изображениях плоских фигур,567
652,Построения на изображениях пространственных фигур,567
653,Развертки многогранников,567
654,Расстояние между точками,502
655,Расстояние от точки до прямой,502
656,Расстояние между скрещивающимися прямыми,568
657,Угол между плоскостями,568
658,Площади сечений,615
659,Площади поверхностей,615
660,"Расчет углов в равных треугольниках, дополнительные построения",170
661,Осевая симметрия,531
662,Центральная симметрия,531
663,метод дополнительных построений,501
664,Построение касательных,179
665,Касание окружностей,180
666,среднее геометрическое,487
667,Четырехугольник с перпендикулярными диагоналями,487
668,Конфигурационные задачи,487
669,ГМТ с постоянным углом,176
670,Угол между касательной и хордой,180
671,Отношение площадей треугольников с равным углом,491
672,Расчёт частей треугольника,491
673,Группировка площадей,491
674,Обратный ход,501
675,средняя линия трапеции,479
676,Отражение и зеркала,170
677,кратчайшие пути,170
678,ломаные,144
679,равные фигуры,144
680,Выпуклые фигуры,144
681,Формула включений и исключений,549
682,"Алгебра событий, основные понятия",549
683,теорема Лапласа,560
684,теорема Пуассона,560
685,Первоначальные понятия математической статистики,560
686,Оценка вероятности по относительной частоте. Доверительный интервал,685
687,Оценка параметров в статистике,685
688,Плотность вероятности. Числовые характеристики непрерывных случайных величин,560
